individual,observation_date,type,species,urban_gradient,temperature,light,condition,condition_sequence,light_2,start_line,finish_line,duration_from_light,duration_from_start,condition2
1,7/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,14.567,32.433,50.767,36.166,18.334,32 / UV / Urban
1,7/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,1,20.733,26.567,40.767,20.067,14.2,32 / white / Urban
1,7/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,12.3,12.733,16.367,4.1,3.634,28 / UV / Urban
1,7/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,24.8,42.167,49.8,25.033,7.633,28 / white / Urban
2,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,UV,32 / UV,4,6.3,12.633,18.367,12.1,5.734,32 / UV / Urban
2,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,white,32 / white,3,5.9,51.733,68.533,62.6,16.8,32 / white / Urban
2,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,UV,28 / UV,2,24.133,26.767,33.067,8.967,6.3,28 / UV / Urban
2,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,white,28 / white,1,15.167,16,80.533,65.4,64.533,28 / white / Urban
3,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,UV,32 / UV,4,12.233,,,,120,32 / UV / Urban
3,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,white,32 / white,3,16.133,,,,120,32 / white / Urban
3,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,UV,28 / UV,1,15.267,52.533,70.567,55.3,18.034,28 / UV / Urban
3,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,white,28 / white,2,19.233,21.667,64,44.867,42.333,28 / white / Urban
4,7/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,17.733,18.1,19.2,1.467,1.1,32 / UV / Urban
4,7/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,24.4,27.767,31.633,7.233,3.866,32 / white / Urban
4,7/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,16.533,20,21.2,4.667,1.2,28 / UV / Urban
4,7/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,26.467,29.033,30.667,4.2,1.634,28 / white / Urban
5,7/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,22.867,27.5,30.467,2.967,7.633,32 / UV / Urban
5,7/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,24.003,24.533,,,120,32 / white / Urban
5,7/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,11.733,12,14.633,2.633,2.9,28 / UV / Urban
5,7/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,9.3,12.933,14.4,1.467,5.1,28 / white / Urban
6,7/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,11.5,12.533,13.8,2.367,1.267,32 / UV / Urban
6,7/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,7.35,,,120,120,32 / white / Urban
6,7/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,11,11.467,14.267,3.267,2.8,28 / UV / Urban
6,7/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,16.867,17.133,18.9,2.033,1.767,28 / white / Urban
7,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,UV,32 / UV,4,8.32,12.12,20.7,12.38,8.58,32 / UV / Urban
7,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,white,32 / white,3,16,16.9,24.2,8.233,7.3,32 / white / Urban
7,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,UV,28 / UV,2,18.6,41.633,55.333,36.8,13.7,28 / UV / Urban
7,7/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,white,28 / white,1,10.867,18.6,67.267,56.433,48.667,28 / white / Urban
8,8/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,46.9,58.133,67.167,9.034,20.233,32 / UV / Urban
8,8/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,71.1,75.833,78.833,3,7.767,32 / white / Urban
8,8/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,8.5,10.633,12.4,1.767,3.9,28 / UV / Urban
8,8/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,15.3,16.067,27.633,11.566,12.333,28 / white / Urban
9,8/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,19.567,20.133,32.067,11.934,12.533,32 / UV / Urban
9,8/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,13.233,28,38.7,10.7,25.434,32 / white / Urban
9,8/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,11.967,16.467,23.567,7.1,11.566,28 / UV / Urban
9,8/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,15.067,15.967,18.467,2.5,3.433,28 / white / Urban
11,8/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,UV,32 / UV,4,16.033,22.433,102.26,86.227,79.827,32 / UV / Urban
11,8/05/2024,Native,Lasioglossum (Chilalictus),Urban,32,white,32 / white,3,36.6,41.267,53.867,17.3,12.6,32 / white / Urban
11,8/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,UV,28 / UV,2,11.267,17.233,28.933,17.666,11.7,28 / UV / Urban
11,8/05/2024,Native,Lasioglossum (Chilalictus),Urban,28,white,28 / white,1,9.333,15.867,23.567,14.267,7.7,28 / white / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,3,7.367,37.233,123,115.633,85.767,32 / UV / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,4,18.133,23.367,48.033,29.867,24.666,32 / white / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,16.733,20.267,20.367,3.534,0.1,28 / UV / Urban
13,8/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,20.733,22.033,24.167,3.467,2.134,28 / white / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,15.667,17.9,39.733,24.066,21.833,32 / UV / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,13.633,35.5,46.933,33.3,11.433,32 / white / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,2,7.2,7.767,9.567,2.367,1.8,28 / UV / Urban
14,8/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,1,16.333,16.967,18.4,2.034,1.433,28 / white / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,32,UV,32 / UV,4,13.7,15.233,25.533,11.9,10.3,32 / UV / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,32,white,32 / white,3,24.8,26.1,31.933,7.167,5.833,32 / white / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,28,UV,28 / UV,1,30.833,38.533,53.3,22.434,14.767,28 / UV / Urban
15,9/05/2024,Honeybees,Apis mellifera,Urban,28,white,28 / white,2,10.733,32.3,62,51.267,29.7,28 / white / Urban
